code,name,area
600150,*ST船舶,上海
601328,交通银行,上海
601788,光大证券,上海
002454,松芝股份,上海
300017,网宿科技,上海
603378,亚士创能,上海
600612,老凤祥,上海
600741,华域汽车,上海
603855,华荣股份,上海
600640,号百控股,上海
600650,锦江投资,上海
300061,康旗股份,上海
600819,耀皮玻璃,上海
603157,拉夏贝尔,上海
600696,ST岩石,上海
002858,力盛赛车,上海
600679,上海凤凰,上海
300171,东富龙,上海
603009,北特科技,上海
600072,中船科技,上海
002636,金安国纪,上海
600620,天宸股份,上海
600662,强生控股,上海
601727,上海电气,上海
600851,海欣股份,上海
002565,顺灏股份,上海
603730,岱美股份,上海
300578,会畅通讯,上海
300378,鼎捷软件,上海
002527,新时达,上海
600643,爱建集团,上海
600605,汇通能源,上海
600648,外高桥,上海
600827,百联股份,上海
600073,上海梅林,上海
601828,美凯龙,上海
603020,爱普股份,上海
603232,格尔软件,上海
300168,万达信息,上海
002195,二三四五,上海
600654,ST中安,上海
600823,世茂股份,上海
600500,中化国际,上海
601607,上海医药,上海
600622,光大嘉宝,上海
603226,菲林格尔,上海
002324,普利特,上海
600019,宝钢股份,上海
600675,中华企业,上海
601229,上海银行,上海
002252,上海莱士,上海
600602,云赛智联,上海
600882,广泽股份,上海
000668,荣丰控股,上海
300511,雪榕生物,上海
603159,上海亚虹,上海
600630,龙头股份,上海
002022,科华生物,上海
002486,嘉麟杰,上海
600841,上柴股份,上海
600692,亚通股份,上海
600833,第一医药,上海
600638,新黄浦,上海
600508,上海能源,上海
600822,上海物贸,上海
600196,复星医药,上海
002825,纳尔股份,上海
002116,中国海诚,上海
603039,泛微网络,上海
603790,雅运股份,上海
600767,ST运盛,上海
600837,海通证券,上海
600846,同济科技,上海
603197,保隆科技,上海
600490,鹏欣资源,上海
600688,上海石化,上海
600661,昂立教育,上海
000863,三湘印象,上海
600616,金枫酒业,上海
600613,神奇制药,上海
600663,陆家嘴,上海
600614,鹏起科技,上海
601200,上海环境,上海
300253,卫宁健康,上海
600272,开开实业,上海
600081,东风科技,上海
603501,韦尔股份,上海
603886,元祖股份,上海
300039,上海凯宝,上海
603189,网达软件,上海
600818,中路股份,上海
002162,悦心健康,上海
600634,*ST富控,上海
300286,安科瑞,上海
600844,丹化科技,上海
603037,凯众股份,上海
600816,安信信托,上海
603108,润达医疗,上海
603619,中曼石油,上海
603777,来伊份,上海
600151,航天机电,上海
300398,飞凯材料,上海
300129,泰胜风能,上海
300483,沃施股份,上海
603196,日播时尚,上海
603579,荣泰健康,上海
600021,上海电力,上海
600708,光明地产,上海
300272,开能健康,上海
600619,海立股份,上海
300326,凯利泰,上海
600642,申能股份,上海
600628,新世界,上海
603887,城地股份,上海
600284,浦东建设,上海
600171,上海贝岭,上海
603214,爱婴室,上海
002028,思源电气,上海
603515,欧普照明,上海
600629,华建集团,上海
600641,万业企业,上海
603056,德邦股份,上海
603003,龙宇燃油,上海
002605,姚记扑克,上海
300153,科泰电源,上海
603987,康德莱,上海
600000,浦发银行,上海
300262,巴安水务,上海
600061,国投资本,上海
300059,东方财富,上海
600838,上海九百,上海
603918,金桥信息,上海
603580,艾艾精工,上海
300627,华测导航,上海
300336,新文化,上海
603960,克来机电,上海
600825,新华传媒,上海
600651,飞乐音响,上海
603330,上海天洋,上海
300462,华铭智能,上海
300493,润欣科技,上海
600170,上海建工,上海
603683,晶华新材,上海
600119,长江投资,上海
601211,国泰君安,上海
603499,翔港科技,上海
603200,上海洗霸,上海
600895,张江高科,上海
600606,绿地控股,上海
603728,鸣志电器,上海
002401,中远海科,上海
601231,环旭电子,上海
002278,神开股份,上海
600845,宝信软件,上海
600094,大名城,上海
600611,大众交通,上海
600624,复旦复华,上海
601021,春秋航空,上海
603881,数据港,上海
601601,中国太保,上海
600315,上海家化,上海
603030,全筑股份,上海
300225,金力泰,上海
600517,置信电气,上海
300126,锐奇股份,上海
600655,豫园股份,上海
603659,璞泰来,上海
300613,富瀚微,上海
600193,*ST创兴,上海
600278,东方创业,上海
600635,大众公用,上海
300180,华峰超纤,上海
600320,振华重工,上海
002346,柘中股份,上海
603868,飞科电器,上海
300230,永利股份,上海
601616,广电电气,上海
600834,申通地铁,上海
300067,安诺其,上海
300170,汉得信息,上海
600618,氯碱化工,上海
601611,中国核建,上海
600695,绿庭投资,上海
300469,信息发展,上海
600608,ST沪科,上海
600026,中远海能,上海
600689,上海三毛,上海
300074,华平股份,上海
600009,上海机场,上海
601872,招商轮船,上海
600836,界龙实业,上海
002568,百润股份,上海
600420,现代制药,上海
600680,*ST上普,上海
002706,良信电器,上海
600826,兰生股份,上海
600097,开创国际,上海
600621,华鑫股份,上海
002669,康达新材,上海
300508,维宏股份,上海
300226,上海钢联,上海
300222,科大智能,上海
603895,天永智能,上海
603885,吉祥航空,上海
603713,密尔克卫,上海
603587,地素时尚,上海
603131,上海沪工,上海
603690,至纯科技,上海
600503,华丽家族,上海
300609,汇纳科技,上海
600958,东方证券,上海
600676,交运股份,上海
300642,透景生命,上海
600018,上港集团,上海
300008,天海防务,上海
600604,市北高新,上海
600210,紫江企业,上海
600732,ST新梅,上海
002178,延华智能,上海
603128,华贸物流,上海
600835,上海机电,上海
603329,上海雅仕,上海
600647,同达创业,上海
603192,汇得科技,上海
603648,畅联股份,上海
002451,摩恩电气,上海
600748,上实发展,上海
603365,水星家纺,上海
002561,徐家汇,上海
600626,申达股份,上海
600754,锦江股份,上海
603729,龙韵股份,上海
601595,上海电影,上海
600623,华谊集团,上海
300590,移为通信,上海
600601,方正科技,上海
600088,中视传媒,上海
603633,徕木股份,上海
002269,美邦服饰,上海
603466,风语筑,上海
603650,彤程新材,上海
601866,中远海发,上海
600653,申华控股,上海
300442,普丽盛,上海
600639,浦东金桥,上海
600843,上工申贝,上海
002158,汉钟精机,上海
300380,安硕信息,上海
300551,古鳌科技,上海
600636,三爱富,上海
600532,宏达矿业,上海
600850,华东电脑,上海
603496,恒为科技,上海
002058,威 尔 泰,上海
600115,东方航空,上海
300330,华虹计通,上海
603991,至正股份,上海
601968,宝钢包装,上海
603022,新通联,上海
603718,海利生物,上海
002506,协鑫集成,上海
300501,海顺新材,上海
600597,光明乳业,上海
600610,*ST毅达,上海
603006,联明股份,上海
600530,交大昂立,上海
601519,大智慧,上海
603083,剑桥科技,上海
300236,上海新阳,上海
603012,创力集团,上海
600652,游久游戏,上海
002328,新朋股份,上海
600649,城投控股,上海
002184,海得控制,上海
600824,益民集团,上海
600820,隧道股份,上海
300245,天玑科技,上海
600615,丰华股份,上海
600104,上汽集团,上海
603899,晨光文具,上海
600637,东方明珠,上海
300327,中颖电子,上海
600848,上海临港,上海
002812,恩捷股份,云南
002053,云南能投,云南
600497,驰宏锌锗,云南
600025,华能水电,云南
002428,云南锗业,云南
300505,川金诺,云南
600422,昆药集团,云南
002750,龙津药业,云南
002059,云南旅游,云南
600995,文山电力,云南
600265,ST景谷,云南
000960,锡业股份,云南
000667,美好置业,云南
000807,云铝股份,云南
002033,丽江旅游,云南
002727,一心堂,云南
600792,云煤能源,云南
600883,博闻科技,云南
600096,云天化,云南
000878,云南铜业,云南
600725,ST云维,云南
300142,沃森生物,云南
603963,大理药业,云南
601099,太平洋,云南
002265,西仪股份,云南
000948,南天信息,云南
002114,罗平锌电,云南
000560,我爱我家,云南
000903,云内动力,云南
000538,云南白药,云南
600239,云南城投,云南
600459,贵研铂业,云南
002200,云投生态,云南
600201,生物股份,内蒙
000780,平庄能源,内蒙
000611,天首发展,内蒙
600988,赤峰黄金,内蒙
600295,鄂尔多斯,内蒙
600967,内蒙一机,内蒙
000683,远兴能源,内蒙
300239,东宝生物,内蒙
600277,亿利洁能,内蒙
002128,露天煤业,内蒙
000975,银泰资源,内蒙
600262,北方股份,内蒙
600111,北方稀土,内蒙
002688,金河生物,内蒙
600091,ST明科,内蒙
300049,福瑞股份,内蒙
600887,伊利股份,内蒙
600291,西水股份,内蒙
600010,包钢股份,内蒙
600191,华资实业,内蒙
